,blasts_train,leuk_train
3841,0.0,0.7679916074641938
1666,0.0,1.2804375988859127
4098,0.0,0.44939031618397784
8322,0.0,0.039111549612362684
3717,0.0,0.5538073392296659
7687,0.0,0.4928290893965448
3339,0.0,0.1982843478955631
8205,inf,inf
9102,inf,inf
9357,0.0,0.7648535019582459
6416,inf,inf
3347,0.0,5.0365153962093024e-05
6804,0.0,1.2462354331473913
8725,0.0,0.5041399459091759
9109,0.0,0.33040677646059985
8216,0.0,1.2754026955516617
5276,0.0,0.16419506108027435
3101,0.0,0.6690423502912549
3360,0.0,0.3882243131308841
2467,0.0,0.7744607149670797
4132,inf,inf
5157,0.0,0.4868267170152767
3110,0.0,0.2468673736699501
8103,0.0,0.07916496405024231
5161,0.0,0.3008906750396671
3114,inf,inf
8106,0.0,0.5313644124539068
3500,0.0,0.08262478617859642
3631,0.0,1.8854237445142303
6450,0.0,0.5402811694345787
6067,inf,inf
8242,0.0,0.22186203238942978
2101,inf,inf
3895,0.0,0.7076197766673775
2104,0.0,0.10927804954501992
2105,inf,inf
1978,0.0,0.2896668153577197
6074,0.0,0.025009025501605005
9145,0.0,1.4058520378770287
2111,0.0,0.5281241449424661
5568,0.0,0.33374818717605637
3266,inf,inf
3652,0.0,0.596583631253588
2886,0.0,0.023182295338541832
4935,inf,inf
6086,0.0,0.8744692192867141
1100,0.0,0.6608751981850998
8013,0.0,0.5880177221733829
4046,0.0,0.022256864944233422
6735,0.0,0.37293019806518957
9553,0.0,0.39147962707615475
4181,0.0,0.11057417609869262
8917,0.0,0.14809085796658714
8793,0.0,0.47124886370794594
7643,0.0,0.3650280589868941
7773,inf,inf
9823,0.0,0.1381918706433288
7908,inf,inf
4838,inf,inf
5478,0.0,2.000677276773227
6374,0.0,0.3689878168350117
7402,0.0,0.3219332827533009
3947,0.0,1.3430882488966946
2927,0.0,0.9577544730421403
1393,0.0,0.17035823508378864
5874,0.0,0.6468106993034074
7537,0.0,0.7399895099564742
3447,0.0,0.4325255411535115
9851,0.0,0.5207044506278818
6780,0.0,0.25820022360106115
8574,0.0,0.3536711832264694
