,blasts_train,leuk_train
3841,0.0,0.7489811582505185
1666,0.0,1.2761139281972798
4098,0.0,0.4559604382263008
8322,0.0,0.03712409104257448
3717,inf,inf
7687,0.0,0.48739801776919334
3339,0.0,0.20873459763035632
8205,inf,inf
9102,0.0,1.0447957306204534
9357,0.0,0.7576027524318484
6416,inf,inf
3347,0.0,7.611527144510262e-06
6804,inf,inf
8725,0.0,0.5298265198451804
9109,0.0,0.32275453007170973
8216,0.0,1.1854076775451177
5276,0.0,0.16854418221467485
3101,0.0,0.6586583220748098
3360,0.0,0.3519397828254067
2467,0.0,0.7395883407196809
4132,inf,inf
5157,0.0,0.5109206564327967
3110,0.0,0.22694489843937274
8103,0.0,0.058820723481772065
5161,0.0,0.2908532128702056
3114,0.0,0.1716737609615473
8106,0.0,0.48830972018850244
3500,0.0,0.1312434474729172
3631,0.0,2.8581823391004253
6450,0.0,0.5281717862752486
6067,0.0,0.4281759628443617
8242,0.0,0.21234907306422882
2101,inf,inf
3895,0.0,0.5196559477293784
2104,0.0,0.09790809045230366
2105,inf,inf
1978,0.0,0.3114909770262887
6074,0.0,0.1885817015994942
9145,0.0,1.4834911657824779
2111,0.0,0.5649174971352279
5568,0.0,0.33263267140362607
3266,inf,inf
3652,0.0,0.6416160837168849
2886,0.0,0.20321043769171862
4935,inf,inf
6086,0.0,0.9500942835022499
1100,0.0,0.7805695332653529
8013,0.0,0.5874172779799576
4046,0.0,0.017411908050942983
6735,0.0,0.44959156944216244
9553,0.0,0.5212777564168406
4181,0.0,0.13261379114602403
8917,0.0,0.1508043566671161
8793,0.0,0.46653144986280726
7643,0.0,0.38995649922052683
7773,inf,inf
9823,0.0,0.17141093154779388
7908,inf,inf
4838,0.0,0.5917717139686585
5478,0.0,1.7641489224118179
6374,0.0,0.3842621954825048
7402,0.0,0.3493986506350506
3947,0.0,1.3296917005552291
2927,0.0,0.9303653975730529
1393,0.0,0.17493110540757617
5874,0.0,0.81601653760559
7537,0.0,0.7199124454950767
3447,0.0,0.39938054400153017
9851,0.0,0.4987501651886712
6780,0.0,0.27276838110689194
8574,0.0,0.3483524449051494
